Question,Answer,,,,,,,,
A CSR in my class cannot access their CCO Learning ,Refer to [IT Service Desk](https://itservicedesk.maximus.com/CherwellPortal/IT?_=422bffd2) complete and submit a ticket reporting CCO Learning issue. ,"trainer.train([""A CSR in my class cannot access their CCO Learning "",""Refer to [IT Service Desk](https://itservicedesk.maximus.com/CherwellPortal/IT?_=422bffd2) complete and submit a ticket reporting CCO Learning issue. "",])",1,1,,,,,
A CSR in my class cannot get into their CCO Learning. ,Refer to [IT Service Desk](https://itservicedesk.maximus.com/CherwellPortal/IT?_=422bffd2) complete and submit a ticket reporting CCO Learning issue. ,"trainer.train([""A CSR in my class cannot get into their CCO Learning. "",""Refer to [IT Service Desk](https://itservicedesk.maximus.com/CherwellPortal/IT?_=422bffd2) complete and submit a ticket reporting CCO Learning issue. "",])",2,2,,,,,
A CSR in my class cannot log into their CCO Learning ,Refer to [IT Service Desk](https://itservicedesk.maximus.com/CherwellPortal/IT?_=422bffd2) complete and submit a ticket reporting CCO Learning issue. ,"trainer.train([""A CSR in my class cannot log into their CCO Learning "",""Refer to [IT Service Desk](https://itservicedesk.maximus.com/CherwellPortal/IT?_=422bffd2) complete and submit a ticket reporting CCO Learning issue. "",])",3,3,,,,,
A CSR in my class locked themselves out of their application.  How will they complete the daily health assessment? ,The trainee will complete the Verbal Health Assessment at Security posted at the Employee Entrance and the Trainer will report the issue to their Training Manager to report the issue to the proper Point of Contact at the Local Site and the Site's Senior Manager.,"trainer.train([""A CSR in my class locked themselves out of their application.  How will they complete the daily health assessment? "",""The trainee will complete the Verbal Health Assessment at Security posted at the Employee Entrance and the Trainer will report the issue to their Training Manager to report the issue to the proper Point of Contact at the Local Site and the Site's Senior Manager."",])",4,4,,,,,
A CSR quit but their timecard is wrong.  How can I get their timecard corrected? ,Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx),"trainer.train([""A CSR quit but their timecard is wrong.  How can I get their timecard corrected? "",""Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx)"",])",5,5,,,,,
A CSR resigned but their timecard is wrong.  How can I get their timecard corrected? ,Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx),"trainer.train([""A CSR resigned but their timecard is wrong.  How can I get their timecard corrected? "",""Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx)"",])",6,6,,,,,
A CSR resigned but their timecard is wrong.  How can I get their timecard fixed? ,Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx),"trainer.train([""A CSR resigned but their timecard is wrong.  How can I get their timecard fixed? "",""Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx)"",])",7,7,,,,,
A CSR rquit but their timecard is wrong.  How can I get their timecard fixed? ,Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx),"trainer.train([""A CSR rquit but their timecard is wrong.  How can I get their timecard fixed? "",""Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx)"",])",8,8,,,,,
"A New Hire quit, but their timecard is wrong.   How can I get their timecard corrected? ",Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx),"trainer.train([""A New Hire quit, but their timecard is wrong.   How can I get their timecard corrected? "",""Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx)"",])",9,9,,,,,
"A New Hire quit, but their timecard is wrong.  How can I get their timecard fixed? ",Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx),"trainer.train([""A New Hire quit, but their timecard is wrong.  How can I get their timecard fixed? "",""Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx)"",])",10,10,,,,,
"A New Hire resigned, but their timecard is wrong.   How can I get their timecard corrected? ",Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx),"trainer.train([""A New Hire resigned, but their timecard is wrong.   How can I get their timecard corrected? "",""Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx)"",])",11,11,,,,,
"A New Hire resigned, but their timecard is wrong.  How can I get their timecard fixed? ",Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx),"trainer.train([""A New Hire resigned, but their timecard is wrong.  How can I get their timecard fixed? "",""Send your request via email to [CCOTimeCardHelp@Maximus.com] using the template found (https://maximus365.sharepoint.com/sites/CCO/Support/KSTP/CCO_Training_Delivery_Trainer_Resources/Forms%20and%20Templates/Forms/AllItems.aspx?viewpath=%2Fsites%2FCCO%2FSupport%2FKSTP%2FCCO_Training_Delivery_Trainer_Resources%2FForms%20and%20Templates%2FForms%2FAllItems.aspx)"",])",12,12,,,,,
A participant in my class cannot access their CCO Learning ,Refer to [IT Service Desk](https://itservicedesk.maximus.com/CherwellPortal/IT?_=422bffd2) complete and submit a ticket reporting CCO Learning issue. ,"trainer.train([""A participant in my class cannot access their CCO Learning "",""Refer to [IT Service Desk](https://itservicedesk.maximus.com/CherwellPortal/IT?_=422bffd2) complete and submit a ticket reporting CCO Learning issue. "",])",13,13,,,,,
A participant in my class cannot get into their CCO Learning. ,Refer to [IT Service Desk](https://itservicedesk.maximus.com/CherwellPortal/IT?_=422bffd2) complete and submit a ticket reporting CCO Learning issue. ,"trainer.train([""A participant in my class cannot get into their CCO Learning. "",""Refer to [IT Service Desk](https://itservicedesk.maximus.com/CherwellPortal/IT?_=422bffd2) complete and submit a ticket reporting CCO Learning issue. "",])",14,14,,,,,
