text,","
"[""a csr in my class can't access their cco learning account"", ""a csr in my class can't access their cco learning stream"", ""a csr in my class can't access their cco learning"", 'A CSR in my class cannot access their CCO Learning ']",","
"['A CSR in my class cannot get into their CCO Learning. ', 'A CSR in my class cannot get into their CCO Learning. ']",","
"['a csr in my class cannot log into their cco learning oriented courses', ""a csr in my class can't log into their cco learning - system"", ""a csr in my class can't log into their cco learning account"", 'a csr in my class cannot log into their learning cct', 'a csr in my class cannot log in to their cco learning', 'a csr in my class can not log into their cco learning', 'A CSR in my class cannot log into their CCO Learning ']",","
"['a participant in my class cannot access their cco learning - resources', 'a participant in my class cannot access their cco learning - content', 'a participant in my class cannot access their cco learning materials', 'a participant in my class cannot access the cco learning app', 'a participant in my class cannot access his cco learning', ""a participant in my class can't access their cco learning -"", ""a participant in my class can't access their cco learning"", 'A participant in my class cannot access their CCO Learning ']",","
"[""in my class there's no way for a participant to enter cco learning"", ""a participant in my class can't get into cco learning"", 'a participant in my class cannot access their cco learning', 'a participant in my class cannot get into cco learning', 'a participant in my class cannot join their cco learning', 'a participant in my class cannot get into my cco learning', 'A participant in my class cannot get into their CCO Learning. ']",","
"[""a participant in my class can't log into their cco learning registrar"", 'a participant in my class can not log into their cco learning program', 'a participant in my class cannot log in to their cco learning account', 'a participant in my class cannot login to cco learning', 'a participant in my class cannot log into their cco learning account', ""a participant in my class can't log into their cco learning"", 'A participant in my class cannot log into their CCO Learning ']",","
"['a student in my class cannot access their cco learning', 'a trainee in my class cannot access their cco learning', 'a trainee in my class cannot access their cco learning ', 'A trainee in my class cannot access their CCO Learning. ']",","
"['the student in my class cannot get into cco learning', 'a trainee in my class cannot go to cco learning', 'a trainee in my class can not enter cco learning', ""a trainee in my class can't get into cco learning"", 'a trainee in my class cannot get into cco learning', 'a trainee in my class cannot get into my cco learning', 'A trainee in my class cannot get into their CCO Learning.  ']",","
"[""a trainee in my class can't log into cco learning"", 'a trainee in my class can not log into their cco learning account', 'a trainee in my class cannot log into their cco learning program', 'a trainee in my class cannot log into cco learning', 'a trainee in my class cannot log into their cco learning system', ""a trainee in my class can't log into their cco learning"", 'A trainee in my class cannot log into their CCO Learning. ']",","
"['how can i file a ticket when my trainee fails to get cco learning?', 'How do I submit a ticket to report my trainee in class cannot get into CCO Learning? ']",","
"['who can i contact if a trainee has difficulty with cco learning?', 'who can i contact if i cannot find cco learning?', ""who can i call if i can't access cco learning?"", ""how do i contact someone if i can't access cco learning?"", 'who can i reach out to if i am not connected with cco learning?', ""who do you contact if a trainee can't access cco learning?"", ""who should i reach out to if i can't access cco learning?"", 'Who do I reach out to if a trainee cannot access CCO Learning?']",","
"['what will be the daily health assessment?', 'how do i get csrs to participate in daily health assessment?', 'how do i get the student to complete their health assessment?', 'A CSR in my class locked themselves out of their application.  How will they complete the daily health assessment? ']",","
"['how do i get out of clear2work without an app lock?', 'how do i find out a trainee is locked out of the clear2work app?', 'how do i get clear2work out of the app?', 'How to handle the clear2work app if a trainee gets locked out of the app?']",","
